BuzzFeedVideo	68543	10:13	pnKcqi0Wvys	Ned Tries Famous Soccer Trick Shots • The Try Vlog"
ESPN	962994	4:58	pnKcqi0Wvys	Stephen A. Smith outraged at LaVar Ball&#39;s comments about Lonzo debut | SportsCenter | ESPN"
BigDawsTv	5242922	5:28	pnKcqi0Wvys	Pretending To Be Klay Thompson"
TaylorSwiftVEVO	8801026	3:32	pnKcqi0Wvys	Taylor Swift - Gorgeous (Lyric Video)"
FootofaFerret	299715	8:09	zJqnpoJPDMM	The History Of Jacksfilms (Feat. Jacksfilms) | A Brief History"
TheEllenShow	5009101	5:46	zJqnpoJPDMM	MY BRAND NEW SHOW!!"
CharliesVlogs	1630299	1:44	zJqnpoJPDMM	&#39;Harry Styles&#39; Scares Niall Horan"
TheFineBros	1969888	3:23	zJqnpoJPDMM	Marshmello - Silence Ft. Khalid (Official Music Video)"
ThreadBanger	6859570	3:31	EUoe7cf0HYw	Charlie Puth - &quot;How Long&quot; [Official Video]"
BreakingTrail	473369	11:19	EUoe7cf0HYw	COLLEGE KIDS REACT TO MARINA AND THE DIAMONDS"
ritaora	628736	12:54	EUoe7cf0HYw	DIY Halloween PIN-SPLOSION! PIZZA SKULLS, FINGER CANDLES, AND BEARS! OH MY"
nigahiga	938664	11:38	EUoe7cf0HYw	ULTRA RARE! - Velvet Worm"
Professorlive	515220	3:43	XKvXg2NlNZ4	Rita Ora - Anywhere (Official Video)"
MrQwik11	2300237	6:51	XKvXg2NlNZ4	BATTLEGROUNDS The Movie! (Official Fake Trailer)"
corycotton	1347493	5:47	XKvXg2NlNZ4	Movie Spoilers | Anwar Jibawi"
corycotton	17998260	8:31	XKvXg2NlNZ4	Professor vs Trash Talker 1v1 for $100.. EPIC beach court"
thenba2013	1077166	3:33	AQ0b0CRsiVc	Uh Oh LaMelo Ball is Dunking too Easily Now!"
Ballislifedotcom	29781449	5:30	AQ0b0CRsiVc	Airplane Trick Shots | Dude Perfect"
pennyccw	3221437	11:58	AQ0b0CRsiVc	NBA Greatest Crowd Reactions of All Time!!!"
thewockeez	59756300	5:28	AQ0b0CRsiVc	Pickup Basketball Stereotypes"
corycotton	6644939	3:14	IZ5izPbcgG4	Dwight Dunks On 12 Foot Rim - 2009 Slam Dunk Contest (HD)"
kingsflix	3371973	15:22	IZ5izPbcgG4	LaMelo Ball vs Zion Williamson WAS INSANE!! Lonzo Ball, Dame Lillard, OSN &amp; INSANE CROWD Watching!"
ESPN	746580	30:25	IZ5izPbcgG4	I MET LEBRON JAMES JR &amp; BRYCE!!! KYRIE vs LEBRON COURTSIDE VLOG!"
AmericasGotTalent	16335070	13:45	IZ5izPbcgG4	Michael Jordan last 3 minutes in his FINAL BULLS GAME vs Jazz (1998)"
AmericasGotTalent	7004847	6:09	Tx1sqYc3qas	Most Savage Moments in Sports History"
AmericasGotTalent	12977118	7:02	Tx1sqYc3qas	JABBAWOCKEEZ at the NBA Finals 2017"
AmericasGotTalent	57420475	8:11	Tx1sqYc3qas	World Record Edition | Dude Perfect"
AmericasGotTalent	2334093	9:36	Tx1sqYc3qas	Boston Celtics vs Cleveland Cavaliers - Full Game Highlights | Oct 17, 2017 | 2017-18 NBA Season"
AmericasGotTalent	616990	2:34	CwfoyVa980U	Kings Rookie Dance Contest"
AmericasGotTalent	1657652	5:49	CwfoyVa980U	First Take reacts to Gordon Hayward&#39;s injury during Celtics vs. Cavaliers | First Take | ESPN"
AmericasGotTalent	38975061	4:25	CwfoyVa980U	Darci Lynne: 12-Year-Old Singing Ventriloquist Gets Golden Buzzer - America&#39;s Got Talent 2017"
ZSReport	19727660	4:24	CwfoyVa980U	Darci Lynne: Kid Ventriloquist Sings With A Little Help From Her Friends - America&#39;s Got Talent 2017"
NFL	16286347	4:07	ZagQci5qTSM	Angelica Hale: 9-Year-Old Earns Golden Buzzer From Chris Hardwick - America&#39;s Got Talent 2017"
NFL	11212600	3:21	ZagQci5qTSM	Darci Lynne: Young Ventriloquist Performs Diva Classic - America&#39;s Got Talent 2017"
NFL	11709302	3:39	ZagQci5qTSM	Paul Zerdin: Dummy Still Performs After Ventriloquist Walks Off Stage - America&#39;s Got Talent 2015"
jkirui007	38861414	3:34	ZagQci5qTSM	Celine Tam: 9-Year-Old Stuns Crowd with &quot;My Heart Will Go On&quot; - America&#39;s Got Talent 2017"
OWN	10679119	5:16	cWL4eiCR8FM	Demian Aditya: Escape Artist Attempts Deadly Performance - America&#39;s Got Talent 2017"
SkavlanTV	4529105	8:12	cWL4eiCR8FM	NFL &quot;What Are You Doing?&quot; Moments"
eSightEyewear	3916207	6:53	cWL4eiCR8FM	Best &quot;Big Guy&quot; Moments in NFL History"
JimmyKimmelLive	9396326	4:02	cWL4eiCR8FM	15 Most Creative Penalty Goals in Football"
latenight	1691251	0:52	ksdAs4LBRq8	Jason Witten Picks Up First Down &amp; A Cheerleader"
latenight	30857037	13:39	ksdAs4LBRq8	Greatest Trick Plays in Football History"
JimmyKimmelLive	1349008	10:04	ksdAs4LBRq8	The Best Trucks in NFL History"
DrPhilShow	7004847	6:09	ksdAs4LBRq8	Most Savage Moments in Sports History"
starwars	876896	6:33	4hqqFqcr1K8	Craziest Desperation Lateral Attempts in NFL History"
MARVEL	3734867	13:12	4hqqFqcr1K8	Best NFL fights of all time"
TheFrasernash	30335952	4:14	4hqqFqcr1K8	Biggest Football Hits Ever"
EAStarWars	3333345	5:38	4hqqFqcr1K8	NFL Smartest Plays Of All Time (2017)"
WarnerBrosPictures	10518932	4:33	G1VEccH7jJ8	Top 5 Worst Plays Of All Time | NFL"
movietrailers	920535	10:19	G1VEccH7jJ8	Steelers vs. Chiefs | NFL Week 6 Game Highlights"
msvogue23	878384	9:32	G1VEccH7jJ8	Patriots vs. Jets | NFL Week 6 Game Highlights"
EminemVEVO	2428488	8:08	G1VEccH7jJ8	Chiefs vs. Patriots | NFL Week 1 Game Highlights"
msvogue23	2547577	5:27	1h05s058Kck	White Supremacists, You Won&#39;t Like Your DNA Results"
jcolevideovault	1102166	4:31	1h05s058Kck	Bill Maher and Mark Cuban Rip Apart Trump&#39;s IQ"
BETNetworks	7724534	6:49	1h05s058Kck	Tinder couple whose 3 years of messages went viral meets for 1st time on &#39;GMA&#39;"
EminemVEVO	1629365	6:23	1h05s058Kck	Russell Brand Eloquently Owns Bill Maher and his Entire Panel"
EminemVEVO	2255104	4:49	RBRSBtPQLF0	A Sexy Mom&#39;s Revealing Makeunder | The Oprah Winfrey Show | Oprah Winfrey Network"
EminemVEVO	4637759	12:38	RBRSBtPQLF0	Take A Side, Mr. President: Nazis Or Not Nazis"
EminemVEVO	822627	10:21	RBRSBtPQLF0	Seth Meyers got told off by Trump after mockery: – You were too harsh! | Skavlan"
EminemVEVO	6382935	16:38	RBRSBtPQLF0	Retando a mis hijos | Caso Cerrado | Telemundo"
EminemVEVO	7681398	7:03	0gWxHFMog9w	eSight on Rachael Ray: Gene Sees for the First Time!"
TheOfficialLoganPaul	2445337	20:21	0gWxHFMog9w	Jimmy Kimmel’s FULL INTERVIEW with Sean Spicer"
TheOfficialLoganPaul	4660236	6:26	0gWxHFMog9w	Gal Gadot Tries a Reese&#39;s Peanut Butter Cup for the First Time"
JakePaulProductions	43720414	8:12	0gWxHFMog9w	Wheel of Musical Impressions with Jamie Foxx"
JakePaulProductions	12541249	5:44	MeJnBytUYZI	Bill Skarsgård on Playing Pennywise the Clown"
	33272578	4:24	MeJnBytUYZI	What May Be Driving A 13-Year-Old’s “Out-Of-Control” Behavior"
	3475492	14:31	MeJnBytUYZI	Stephen Takes A Front-Stab At Scaramucci&#39;s Phone Interview"
	3605609	4:23	MeJnBytUYZI	BLACK PANTHER Trailer 2 (Extended) Marvel 2018"
	5094875	4:34	AQBlbklLhr8	STAR WARS 8 The Last Jedi Trailer 2 (Extended) 2017"
	4577814	8:51	AQBlbklLhr8	JUSTICE LEAGUE Final Extended Trailer (2017)"
	32845318	2:35	AQBlbklLhr8	Star Wars: The Last Jedi Trailer (Official)"
	8067512	2:19	AQBlbklLhr8	Marvel Studios&#39; Black Panther - Official Trailer"
	5119824	11:25	f7qAbIdcmPo	IT &quot;Behind The Scenes&quot; (2017) Stephen Kings Horror Movie (HD)"
	4853168	4:19	f7qAbIdcmPo	Pennywise Sings a Song (Stephen King&#39;s &#39;It&#39; Parody)"
	523949	2:07	f7qAbIdcmPo	I Love You, Daddy - Trailer"
	1587823	1:51	f7qAbIdcmPo	Star Wars Battlefront 2 Single Player Trailer"
	1130664	0:53	CD9qdF0KjTE	I, TONYA [Official Teaser] – In Theaters Winter 2017"
	21330122	3:14	CD9qdF0KjTE	JUSTICE LEAGUE - Official Heroes Trailer"
	17329542	2:26	CD9qdF0KjTE	IT (2017) TRAILER BUT IT&#39;S THE CAT IN THE HAT"
	1221508	8:43	CD9qdF0KjTE	10 Things You Missed in Star Wars The Last Jedi Movie Trailer"
	1802510	2:12	Cj3AV92fJ90	THE NEW MUTANTS Trailer (2018) X-MEN Movie, Blockbuster HD"
	1786637	3:42	Cj3AV92fJ90	THOR RAGNAROK God of Thunder Trailer NEW (2017) Marvel Superhero Movie HD"
	155980924	4:59	Cj3AV92fJ90	Eminem - Till I Collapse [HD]"
	159022653	8:10	Cj3AV92fJ90	Eminem - Stan (Long Version) ft. Dido"
	154370752	5:24	rlxqaVi7eNw	Eminem - Lose Yourself [HD]"
	2752726	7:33	rlxqaVi7eNw	Celebrities React To Eminem&#39;s Freestyle Going At Donald Trump At The BET Hip-Hop Awards"
	34999916	4:35	rlxqaVi7eNw	Eminem Rips Donald Trump In BET Hip Hop Awards Freestyle Cypher"
	1414852968	4:27	rlxqaVi7eNw	Eminem - Love The Way You Lie ft. Rihanna"
	580233468	6:10	grmFUMSS1EE	Eminem - Rap God (Explicit)"
	488589583	5:00	grmFUMSS1EE	Eminem - Without Me"
	581918191	6:09	grmFUMSS1EE	Eminem - When I&#39;m Gone"
	319726965	4:19	grmFUMSS1EE	Eminem - Mockingbird"
	331463335	5:15	8ropWor8aAM	Eminem - No Love (Explicit Version) ft. Lil Wayne"
	944361	1:23	8ropWor8aAM	50 Cent Reacts To Eminem BET Cypher For Donald Trump At Hip Hop Awards"
	7684007	4:50	8ropWor8aAM	LYIN&#39; RYAN"
	12163974	12:16	8ropWor8aAM	Logan Paul Funniest Vines Compilation w/ Titles"
	17643204	3:37	EExwffrNBMg	Logan Paul - Outta My Hair [Official Music Video]"
	140884166	3:25	EExwffrNBMg	Logan Paul - Help Me Help You ft. Why Don&#39;t We [Official Video]"
	10320333	11:58	EExwffrNBMg	Logan Paul Vs Jake Paul Vine Battle w/ Titles 2017"
	117538976	3:32	EExwffrNBMg	FULL SONG: The Fall Of Jake Paul (Official Video) FEAT. Why Don&#39;t We"
	10050180	13:50	yZm8znUvLHA	APOLLO MEETS KONG FOR THE FIRST TIME!"
	12496698	10:18	yZm8znUvLHA	Every Time Logan Paul Broke A Plate Compilation"
	50670358	2:42	yZm8znUvLHA	The Rise Of The Pauls (Official Music Video) feat. Jake Paul #TheSecondVerse"
	8822683	15:15	yZm8znUvLHA	Our relationship..."
	77995555	3:31	me5ihmdlAk4	Jake Paul - I Love You Bro (Song) feat. Logan Paul (Official Music Video)"
	15291231	14:04	me5ihmdlAk4	MEETING THE MINI JAKE PAUL?!"
	36317365	4:04	me5ihmdlAk4	Logan Paul - HERO (Official Music Video) Feat. Zircon"
			me5ihmdlAk4	
			NwCjSclxZIo	
			NwCjSclxZIo	
			NwCjSclxZIo	
			NwCjSclxZIo	
			LVZ4o1pbRIk	
			LVZ4o1pbRIk	
			LVZ4o1pbRIk	
			LVZ4o1pbRIk	
			ldnJrDOgwpo	
			ldnJrDOgwpo	
			ldnJrDOgwpo	
			ldnJrDOgwpo	
			17itN4PgjaM	
			17itN4PgjaM	
			17itN4PgjaM	
			17itN4PgjaM	
			Fj8G9dGuNkU	
			Fj8G9dGuNkU	
			Fj8G9dGuNkU	
			Fj8G9dGuNkU	
			CD9qdF0KjTE	
			CD9qdF0KjTE	
			CD9qdF0KjTE	
			CD9qdF0KjTE	
			wZRFszwvtrE	
			wZRFszwvtrE	
			wZRFszwvtrE	
			wZRFszwvtrE	
			4nwaQ4CUoV8	
			4nwaQ4CUoV8	
			4nwaQ4CUoV8	
			4nwaQ4CUoV8	
			Q7PANvKO9F0	
			Q7PANvKO9F0	
			Q7PANvKO9F0	
			Q7PANvKO9F0	
			Px2F4odJR8o	
			Px2F4odJR8o	
			Px2F4odJR8o	
			Px2F4odJR8o	
			6hYFmW18oNA	
			6hYFmW18oNA	
			6hYFmW18oNA	
			6hYFmW18oNA	
			yvS2gjMMXBQ	
			yvS2gjMMXBQ	
			yvS2gjMMXBQ	
			yvS2gjMMXBQ	
			bUT6S1xcd98	
